index,Company,TypeName,Inches,Resolution_Width,Resolution_Heigth,Touch_Screen,Cpu_Brand,Cpu_Name,Cpu_Speed,Ram,Memory_Type,Primary_Storage,Secondary_Storage,Gpu_Brand,OpSys,Weigth(kg),Price
1178,MSI,Gaming,15.6,1920,1080,No,Intel,"Core i7",2.6GHz,16,Hybrid,128,1024,Nvidia,windows,1.91,114731.6
1179,HP,Notebook,15.6,1366,768,No,Intel,"Core i3",2.3GHz,4,HDD,500,0,Intel,windows,2.07,34632.0
1180,Lenovo,"2 in 1 Convertible",14.0,2560,1440,Yes,Intel,"Core i5",2.3GHz,8,SDD,256,0,Intel,windows,1.36,87219.4
1181,Lenovo,Ultrabook,15.6,1920,1080,No,Intel,"Core i7",2.7GHz,6,SDD,256,0,Nvidia,windows,1.54,44275.7
1182,Dell,Notebook,15.6,1920,1080,No,Intel,"Core i7",2.7GHz,8,SDD,256,0,Nvidia,linux,1.98,47686.1
1183,Acer,Notebook,15.6,1366,768,No,Intel,"Celeron Dual",2GHz,4,HDD,500,0,Intel,windows,2.1,17742.2
1184,HP,Notebook,15.6,1920,1080,No,Intel,"Core i7",2.6GHz,6,HDD,1024,0,Nvidia,windows,2.18,42570.7
1185,Asus,Gaming,15.6,1920,1080,No,Intel,"Core i7",2.6GHz,8,Hybrid,256,1024,Nvidia,windows,2.591,48431.5
1186,Dell,"2 in 1 Convertible",15.6,1920,1080,Yes,Intel,"Core i7",2.7GHz,16,SDD,512,0,Intel,windows,2.09,62817.1
1187,Acer,Notebook,15.6,1920,1080,No,Intel,"Core i5",2.5GHz,4,SDD,256,0,Nvidia,windows,2.23,36816.5
1188,Dell,Ultrabook,13.3,3200,1800,Yes,Intel,"Core i5",2.4GHz,8,SDD,256,0,Intel,linux,1.23,58554.7
1189,Acer,Gaming,17.3,1920,1080,No,Intel,"Core i7",2.8GHz,16,Hybrid,256,1024,Nvidia,windows,4.2,138474.7
1190,Lenovo,Gaming,15.6,1920,1080,No,Intel,"Core i5",2.5GHz,8,HDD,1024,0,Nvidia,windows,2.4,43636.3
1191,Samsung,"2 in 1 Convertible",12.3,2400,1600,Yes,Samsung,"Cortex A72&A53",2.0GHz,4,"Flash Storage",32,0,ARM,other,1.15,35111.5
1192,HP,Notebook,15.6,1366,768,No,Intel,"Core i5",2.5GHz,4,HDD,500,0,Intel,windows,1.86,25840.8
1193,Apple,Ultrabook,12.0,2304,1440,No,Intel,"Core M",1.1GHz,8,"Flash Storage",256,0,Intel,macos,0.920,61964.6
1194,Dell,"2 in 1 Convertible",13.3,1920,1080,Yes,Intel,"Core i5",2.5GHz,8,SDD,256,0,Intel,windows,1.6,63882.7
1195,HP,Notebook,15.6,1920,1080,No,Intel,"Core i7",2.8GHz,12,Hybrid,128,1024,Nvidia,windows,2.21,70702.6
1196,Lenovo,Notebook,15.6,1366,768,No,Intel,"Core i3",2GHz,4,HDD,1024,0,AMD,N/A,1.9,19607.0
1197,Asus,Gaming,17.3,1920,1080,No,Intel,"Core i7",2.6GHz,16,Hybrid,512,1024,Nvidia,windows,4.3,114552.0
1198,Acer,Notebook,15.6,1366,768,No,Intel,"Celeron Dual",2GHz,4,HDD,1024,0,Intel,linux,2.1,14492.2
1199,MSI,Gaming,17.3,1920,1080,No,Intel,"Core i7",2.8GHz,16,Hybrid,256,1024,Nvidia,windows,2.43,109165.4
1200,Dell,Notebook,15.6,1366,768,No,Intel,"Core i3",2.0GHz,4,SDD,128,0,AMD,windows,2.3,26586.7
1201,Lenovo,Notebook,15.6,1366,768,No,Intel,"Core i7",2.5GHz,8,HDD,500,0,Nvidia,N/A,2.2,33513.1
1203,Dell,Ultrabook,13.3,3200,1800,Yes,Intel,"Core i7",2.7GHz,16,SDD,512,0,Intel,windows,1.2,142790.4
1204,Asus,Gaming,15.6,1920,1080,No,Intel,"Core i7",2.6GHz,8,HDD,1024,0,Nvidia,windows,2.2,62284.3
1205,Dell,Notebook,15.6,1920,1080,No,Intel,"Core i5",2.5GHz,8,SDD,256,0,AMD,windows,2.36,47365.9
1206,HP,Notebook,15.6,1366,768,No,Intel,"Core i5",2.5GHz,8,SDD,256,0,Intel,windows,1.91,30849.1
1207,Lenovo,Notebook,15.6,1366,768,No,AMD,"E-Series 9000",2.2GHz,4,HDD,500,0,AMD,windows,2.2,15930.7
1208,Acer,Notebook,17.3,1600,900,No,Intel,"Core i3",2.0GHz,8,HDD,1024,0,Nvidia,windows,3.3,33513.1
1209,Asus,Gaming,15.6,1920,1080,No,Intel,"Core i7",2.8GHz,16,Hybrid,256,1024,Nvidia,windows,2.2,130482.7
1210,Apple,Ultrabook,12.0,2304,1440,No,Intel,"Core M",1.2GHz,8,"Flash Storage",512,0,Intel,macos,0.920,68145.1
1211,Asus,Notebook,15.6,1920,1080,No,Intel,"Core i7",2.8GHz,16,Hybrid,128,1024,Nvidia,windows,2.2,93186.7
1212,MSI,Gaming,17.3,1920,1080,No,Intel,"Core i7",2.6GHz,16,Hybrid,256,1024,Nvidia,windows,2.43,103842.2
1213,Dell,"2 in 1 Convertible",15.6,1920,1080,Yes,Intel,"Core i5",2.5GHz,8,SDD,256,0,Intel,windows,2.191,53226.7
1214,Asus,Gaming,17.3,1920,1080,No,Intel,"Core i7",2.8GHz,16,Hybrid,256,1024,Nvidia,windows,2.9,103842.7
1215,Acer,Netbook,11.6,1366,768,No,Intel,"Celeron Dual",1.5GHz,2,SDD,32,0,Intel,other,1.3,9270.7
1216,Acer,Notebook,17.3,1600,900,No,Intel,"Core i3",2GHz,4,HDD,1024,0,Nvidia,windows,3.3,31861.4
